,No.,Stock,Company name,Industry,Current Exchange,Before Exchange,Last trading date,Total delisted volume
9,13,ROS,FLC Faros Construction Joint Stock Company,Heavy and Civil Engineering Construction,OTC,HOSE,2022-08-31,567598121
10,14,PHP,Port of Hai Phong Joint Stock Company,Support Activities for Transportation,UPCOM,HNX,2022-08-30,326960000
12,16,LCM,Lao Cai Mineral Exploitation & Processing JSC,Mining (except Oil and Gas),UPCOM,HOSE,2022-08-26,24633000
18,22,PDC,Phuong Dong Petroleum Tourism JSC,Hotel and Accomodation,UPCOM,HNX,2022-07-28,15000000
19,23,SD2,Song Da No 2 JSC,Heavy and Civil Engineering Construction,UPCOM,HNX,2022-07-28,14423536
20,24,TST,Telecomunication Technical Service JSC,Specialty Trade Contractors,UPCOM,HNX,2022-07-28,4800000
21,25,CEE,CII Engineering and Construction JSC,Heavy and Civil Engineering Construction,OTC,HOSE,2022-07-21,41500000
22,26,APP,Additives And Petroleum Products Joint Stock Company,Petroleum and Coal Products,UPCOM,HNX,2022-07-15,4724632
23,27,C92,Construction & Investment JSC No 492,Heavy and Civil Engineering Construction,UPCOM,HNX,2022-07-15,5312920
24,28,HPM,Hoang Phuc Mineral Trading and Contruction JSC,Mining (except Oil and Gas),UPCOM,HNX,2022-07-15,3800000
25,29,VIE,VITECO Vietnam Telecommunications Technology JSC,Telecommunications,UPCOM,HNX,2022-07-15,2061244
29,33,ACM,A Cuong Mineral Group JSC,Mining (except Oil and Gas),UPCOM,HNX,2022-07-07,51000000
35,39,VXB,Ben Tre Construction Material Joint Stock Company,Construction,UPCOM,HNX,2022-06-29,4049006
37,41,PXS,"Petroleum Equipment Assembly & Metal Structure .,JSC",Heavy and Civil Engineering Construction,UPCOM,HOSE,2022-06-23,60000000
43,47,FTM,Duc Quan Investment and Development Joint Stock Company,Textile Mills,UPCOM,HOSE,2022-05-13,50000000
44,48,RIC,The Royal International Corporation,Amusement and Recreation Industries,UPCOM,HOSE,2022-05-13,28708169
45,49,PXI,Petroleum Industrial & Civil Construction JSC,Real Estate Development,UPCOM,HOSE,2022-05-06,30000000
46,50,VIS,Vietnam â€“ Italy Steel Joint Stock Company,Primary Metal Manufacturing,OTC,HOSE,2022-04-21,73830393
74,78,GTN,GTNFoods JSC,Food Manufacturing,OTC,HOSE,2022-03-07,250000000
